Course List,Comment for score range : 90 - 70,Comment for score range : 60 - 40,Comment for score range : 30-10,,,English Skill Related
Bahasa Inggris,Siswa dapat berkomunikasi dan memahami materi berbahasa Inggris dengan lancar dan efektif,Siswa dapat berkomunikasi dan memahami materi berbahasa Inggris dengan cukup lancar dan efektif,Siswa perlu meningkatkan kemampuan komunikasi dan pemahaman materi berbahasa Inggris,,,Softskill Skill Related
"Inisiatif, Proaktif, Bertanggung jawab",Siswa dapat secara aktif melaporkan progress dan kendala yang dihadapi selama program,Siswa cukup aktif melaporkan progress dan kendala yang dihadapi selama program,Siswa perlu lebih aktif melaporkan progress dan kendala yang dihadapi selama program,,,Tech Skill Related
Review Materi,Siswa dapat menunjukkan kompetensi dalam materi teknikal yang telah dipelajari dengan baik,Siswa dapat menunjukkan kompetensi dalam materi teknikal yang telah dipelajari dengan cukup baik,Siswa perlu meningkatkan kompetensi dalam materi teknikal,,,
Refleksi diri,Siswa mampu menceritakan kembali dan disipilin dalam melaporkan hal yang didapatkan selama proses pembelajaran dalam bentuk lisan dan tulisan.,Siswa mampu menceritakan kembali dan cukup disiplin dalam melaporkan hal yang didapatkan selama proses pembelajaran dalam bentuk lisan dan tulisan.,Siswa perlu meningkatkan kedisiplinan saat melaporkan hal yang didapatkan selama proses pembelajaran dalam bentuk lisan dan tulisan.,,,
Persiapan Karir atau Startup,Siswa dapat menyimpulkan dan memilih jalur karier pada bidang Software Development yang sesuai dengan diri mereka beserta mengerti hal-hal yang harus mereka persiapkan untuk mencapai dan menjalani karier tersebut.,Siswa dengan cukup baik dapat menyimpulkan dan memilih jalur karier pada bidang Software Development yang sesuai dengan diri mereka beserta mengerti hal-hal yang harus mereka persiapkan untuk mencapai dan menjalani karier tersebut.,Pemahaman siswa perlu ditingkatkan terkiait cara memilih jalur karier pada bidang Software Development yang sesuai dengan diri mereka beserta mengerti hal-hal yang harus mereka persiapkan untuk mencapai dan menjalani karier tersebut.,,,
Pembelajaran dan Tugas Soft skills,"Siswa mengerti dengan baik terkait Critical Thinking, Digital Branding & Interview Communication, Time Management, Professional Communication, Adaptability, Idea Generation dan MVP Planning, serta Startup Valuation","Siswa mengerti dengan cukup baik terkait Critical Thinking, Digital Branding & Interview Communication, Time Management, Professional Communication, Adaptability, Idea Generation dan MVP Planning, serta Startup Valuation","Pemahaman siswa terkait Critical Thinking, Digital Branding & Interview Communication, Time Management, Professional Communication, Adaptability, Idea Generation dan MVP Planning, serta Startup Valuation perlu ditingkatkan",,,
Memulai Dasar Pemrograman untuk Menjadi Pengembang Software,"Siswa mampu dengan baik memodifikasi aplikasi perangkat lunak menggunakan panduan diagram alur dan pemrograman dengan teknologi HTML, CSS, dan JavaScript tingkat dasar secara tepat sesuai persyaratan spesifikasi dan fungsionalitas aplikasi.","Siswa cukup baik memodifikasi aplikasi perangkat lunak menggunakan panduan diagram alur dan pemrograman dengan teknologi HTML, CSS, dan JavaScript tingkat dasar secara tepat sesuai persyaratan spesifikasi dan fungsionalitas aplikasi.","Siswa perlu meningkatkan kemampuan di bagian memodifikasi aplikasi perangkat lunak menggunakan panduan diagram alur dan pemrograman dengan teknologi HTML, CSS, dan JavaScript tingkat dasar secara tepat sesuai persyaratan spesifikasi dan fungsionalitas aplikasi.",,,
DeepLearning.AI TensorFlow Developer Professional Certificate,Siswa dapat menerapkan keterampilan TensorFlow ke berbagai masalah dan proyek dengan baik,Siswa dapat menerapkan keterampilan TensorFlow ke berbagai masalah dan proyek dengan cukup baik,Siswa perlu meningkatkan skill dalam menerapkan keterampilan TensorFlow ke berbagai masalah dan proyek,,,
Mathematics for Machine Learning,Siswa memperoleh pengetahuan matematika prasyarat dengan baik untuk melanjutkan perjalanan dan mengambil kursus yang lebih maju dalam pemelajaran mesin.,Siswa memperoleh pengetahuan matematika prasyarat dengan cukup baik untuk melanjutkan perjalanan dan mengambil kursus yang lebih maju dalam pemelajaran mesin.,Siswa perlu meningkatkan pengetahuan matematika prasyarat untuk melanjutkan perjalanan dan mengambil kursus yang lebih maju dalam pemelajaran mesin.,,,
Simulasi Ujian TensorFlow Developer Certificate,Siswa dapat matang mempersiapkan diri mengikuti ujian TensorFlow Developer Certificate.,Siswa sudah cukup matang mempersiapkan diri mengikuti ujian TensorFlow Developer Certificate.,Siswa perlu mempersiapkan diri lagi untuk mengikuti ujian TensorFlow Developer Certificate.,,,
Belajar Dasar Git dengan Github,Siswa dapat mengelola kumpulan data/kode mereka sendiri dalam repository Github dengan baik. Serta dapat berkolaborasi dengan developer lain pada repository yang sama.,Siswa dapat mengelola kumpulan data/kode mereka sendiri dalam repository Github dengan cukup baik. Serta dapat berkolaborasi dengan developer lain pada repository yang sama.,Siswa perlu meningkatkan pengelolaan kumpulan data/kode mereka sendiri dalam repository Github. Serta dapat berkolaborasi dengan developer lain pada repository yang sama.,,,
Pengenalan Ke Logika Pemrograman,Siswa dapat memahami dengan baik logika pemrograman dasar dan menerapkannya dalam pemecahan masalah yang ada di bidang pekerjaan Software Developer.,Siswa dapat memahami dengan cukup baik logika pemrograman dasar dan menerapkannya dalam pemecahan masalah yang ada di bidang pekerjaan Software Developer.,Siswa perlu meningkatkan pemahaman logika pemrograman dasar dan menerapkannya dalam pemecahan masalah yang ada di bidang pekerjaan Software Developer.,,,
Capstone Project / Proyek Akhir,"Siswa dapat memulai tahapan membuat proyek akhir dengan baik, yakni dalam segi pengembangan aplikasi/solusi yang dikerjakan untuk memvalidasi skill pengembangan produk dan menambah portfolio.","Siswa dapat memulai tahapan membuat proyek akhir dengan cukup baik, yakni dalam segi pengembangan aplikasi/solusi yang dikerjakan untuk memvalidasi skill pengembangan produk dan menambah portfolio.","Siswa perlu memperhatikan proses saat memulai tahapan membuat proyek akhir, yakni dalam segi pengembangan aplikasi/solusi yang dikerjakan untuk memvalidasi skill pengembangan produk dan menambah portfolio.",,,
Google IT Automation with Python,Siswa paham dengan baik membuat program python dan bagaimana menggunakan python untuk otomasi tugas administrasi secara umum.,Siswa cukup paham membuat program python dan bagaimana menggunakan python untuk otomasi tugas administrasi secara umum.,Siswa perlu meningkatkan pemahaman dan praktik melakukan end-to-end workflow dari Project Machine Learning dengan baik,,,
Structuring Machine Learning Projects,Siswa dapat melakukan end-to-end workflow dari Project Machine Learning dengan baik,Siswa dapat melakukan end-to-end workflow dari Project Machine Learning dengan cukup baik,Siswa perlu meningkatkan pemahaman dan praktik melakukan end-to-end workflow dari Project Machine Learning,,,
DeepLearning.AI Tensorflow Data and Deployment,Siswa dapat mendeploy model Machine Learning pada Web dengan baik,Siswa dapat mendeploy model Machine Learning pada Web dengan cukup baik,Siswa perlu meningkatkan pemahaman dan praktik mendeploy model Machine Learning pada Web,,,
